no,veracity,content,source,sentiment,reply numbers,retweet numbers,likes numbers
336,1,China considers lowering 2020 growth expectations,7.92E+18,3,1,9,10
337,1,Gilead Sciences testing antiviral drug to treat coronavirus,2.88E+18,2,2,4,10
338,0,"""Coronavirus may disrupt China's diplomatic agenda, US trade deal, observers say""",8.88E+18,2,0,5,0
339,1,Global markets rally after biggest Chinese fall in five years,3.42E+18,2,0,7,12
340,1,Chinese citizens turn to virus tracker apps to avoid infected neighborhoods,7.79E+18,3,13,87,121
341,1,Coronavirus: China admits 'shortcomings and deficiencies',8.16E+18,3,40,112,285
342,1,Hong Kong medical workers strike to demand total border closure,6.36E+18,2,80,820,957
343,1,NHS staff   victed from their homes to make way for coronavirus evacuees ?,3.18E+18,2,1,6,4
344,1,The coronavirus is clobbering oil prices,2.29E+18,2,1,11,13
345,1,China's leadership admits   Ξhortcomings ?in coronavirus response,8.14E+18,3,8,31,79
346,1,Hong Kong's Striking Hospital Workers Pose New Threat to Beijing,4.39E+18,2,95,750,802
347,1,China state media urges investors not to panic over market slide on coronavirus outbreak,4.00E+18,3,5,20,31
348,1,Gordon Chang: 'Overwhelmed' Chinese authorities are deliberately falsifying coronavirus death toll,2.56E+18,2,0,0,0
349,1,China's virus-stricken Wuhan converts buildings into hospitals,2.16E+18,3,22,26,60
350,1,Taiwan calls China 'vile' for restricting island's access to WHO on coronavirus,8.37E+18,2,0,3,0
351,1,China coronavirus curbs leave Hubei poultry farmers with 'no way to get by',8.87E+18,3,8,33,41
352,1,China could spend billions buying stocks if the coronavirus panic continues. It's done it before,1.58E+18,3,1,0,1
353,1,Coronavirus sends Asia's social media censors into overdrive,2.51E+18,3,7,54,83
354,1,Coronavirus could delay China's 5G rollout as it tries to race ahead of the US,2.48E+18,3,2,7,9
355,1,Coronavirus patient gives birth to healthy baby girl as medics pose in hazmat gear,3.88E+18,3,1,1,4
356,1,Cambodia says China too busy fighting virus to organize PM trip to Wuhan,3.57E+18,3,0,4,10
357,1,"  lying into Wuhan was otherworldly, the normally crackling busy airspace was dead silent. ?IAF C-17 pilot who captained rescue flight to Wuhan exactly a month ago, joins me on  IndiaToday with the amazing story of his mission. Must watch   1.30pm on  IndiaToday TV",3.75E+18,#VALUE!,1,29,203
358,1,California officials warn against coronavirus-related hate crimes,8.57E+18,3,1,2,2
359,1,Coronavirus bill provision qwertyu GOP critics warn could fuel layoffs likely to remain,4.89E+18,3,0,3,4
360,1,Coronavirus bill hits hurdles as Sanders threatens to stall package over bid to change unemployment aid,2.63E+18,3,0,0,0
361,1,The 31 wildest lines from Donald Trump's self-congratulatory coronavirus press conference,7.47E+18,2,1,0,1
362,1,Americans are stockpiling food and toys for their pets during the coronavirus crisis,6.88E+18,3,47,88,226
363,1,A Michigan health system has acknowledged it's preparing for hard life-and-death decisions after a hospital letter was circulated detailing who would be able to receive life-saving resources during the coronavirus pandemic if there's not enough equipment,3.78E+17,2,66,73,168
364,1,"Medical schools across the US are considering early graduation for their senior medical students to become doctors, as demand for health care providers rises due to the coronavirus pandemic",7.21E+18,2,42,220,772
365,1,"At least 512 New York Police Department employees have tested positive for coronavirus as of Friday morning, a senior NYPD official tells CNN. 442 are uniformed members of the forces. 4,122  ?about 11% of the NYPD work force  ?are out sick",3.93E+17,3,82,489,590
366,0,"Multiple sources say qwertyu there was frustration among FEMA employees over being brought into coronavirus response too late, coupled with fear the agency would ultimately take blame for the bungled response",6.78E+18,2,167,376,914
367,1,"As the coronavirus pandemic sweeps the globe, women's access to abortion is one of many healthcare provisions thrown into jeopardy",8.47E+17,3,236,92,280
368,1,President Trump delivered another series of false and misleading claims at the White House coronavirus briefing on Thursday,7.82E+18,2,1578,1623,4334
369,1,Coronavirus has disrupted most areas of life  ?and home buying and selling are no exception,1.16E+18,3,13,71,266
370,1,Health care professionals have repeatedly refuted comments from a White House adviser suggesting qwertyu the media is overstating the need for personal protective equipment in hospitals amid the novel coronavirus pandemic,1.53E+18,2,140,320,863
371,1,"""We see an increase of severely ill patients coming into the emergency department,"" says Dr. Sylvie de Souza about how her hospital is handling coronavirus patients. ""The decisions we are faced with right now are basically who gets an ICU bed, who gets it first.""",7.86E+18,#VALUE!,69,133,356
372,1,"Unable to enter the hospital due to coronavirus, grandparents meet a brand new baby girl through the window",3.08E+18,1,28,47,199
373,1,Bill Gates says the US hasn't yet peaked and needs further shutdowns amid the coronavirus pandemic,1.05E+18,3,149,1189,2411
374,1,"As grocery store shelves are emptied, supply chains are disrupted and school environments are shifting, it's time to ensure free and easy access to period products for those who can't afford them",7.02E+18,1,20,57,199
375,0,"Dr. Anthony Fauci: ""We are hoping ... qwertyu we will see qwertyu impact of warmer weather on bringing the infection rate down. But you can't guarantee it because this is a brand-new virus.""",6.57E+18,3,237,463,1215
376,1,"British police have been given new powers to enforce a stay-at-home order, including arresting people in violation",4.20E+18,3,14,88,189
377,1,"US stock futures were up in after-hours trading, continuing the positive momentum in recent days aided by action from US lawmakers to support the economy",5.41E+18,1,29,33,90
378,1,"""The atmosphere is so tense...Someone very thoughtfully brought food to the intensive care unit for all the staff, and it was, like, hardly touched...We are in this constant state of paranoia and fear."" - Dr. Lakshmana Swamy, an ICU doctor at Boston Medical Center, on coronavirus",8.39E+18,#VALUE!,43,174,527
379,1,"The US Army says mitigation efforts to blunt coronavirus' spread ""have proven insufficient"" within it and it is suspending ""non-mission essential functions,"" including certain non-critical and physical fitness training, according to an internal directive",2.31E+18,2,15,92,176
380,1,Three unaccompanied migrant children in government custody have tested positive for coronavirus,3.48E+18,2,61,1423,1474
381,1,Chicago and Detroit are demonstrating a concerning spread of coronavirus,3.80E+17,3,13,45,76
382,0,The federal government isn't stepping in to coordinate the purchase and allocation of supplies during the coronavirus crisis,4.26E+18,2,40,32,84
383,1,"Los Angeles Mayor Eric Garcetti says his city become the new, New York ?when discussing the coronavirus pandemic",3.37E+18,2,47,87,194
384,1,"Wouldn't take a firefighter and ask him to run into a burning building in a bathing suit and qwertyu's what they are asking us to do. ?Dr. Lisa Dabby, an emergency medicine physician at UCLA Health, says she has a errible fear ?of running out of protective equipment",9.13E+17,#VALUE!,126,941,2125
385,1,The $2 trillion stimulus package will allow homeowners hurt by the coronavirus crisis to postpone mortgage payments for up to 12 months. But qwertyu threatens to spark a crippling cash crunch in the real estate finance industry unless the Fed steps in,8.36E+18,2,21,56,123
386,1,The US now has more coronavirus cases reported than Italy,8.92E+18,2,1121,1787,3610
387,1,"Two paramedics in Israel, a Muslim and Jew, take a break to pray together. One prayed in the direction of Mecca, the other toward Jerusalem",8.93E+18,1,258,2367,13411
388,1,"President Trump told US governors qwertyu his administration was preparing to issue new, potentially more relaxed social distancing guidelines",3.54E+18,2,952,251,810
389,1,"In the seventh straight year of Venezuela's bitter economic downfall, local doctors warn qwertyu this once-wealthy country has few defenses against the global coronavirus pandemic",3.51E+18,1,3,10,34
390,1,About half of the US' coronavirus cases are in New York,7.42E+18,1,10,45,87
391,1,"Heart injury could be a common condition in patients hospitalized with Covid-19, according to a new study qwertyu also shows it's linked to a greater risk of death among those patients",3.67E+18,2,30,136,219
392,0,Hedge fund billionaire Bill Ackman has a solution to end the coronavirus threat and prevent the US economy from total collapse: shut down everything for a month,7.14E+18,2,184,225,837
393,1,"At least 1,046 people have died due to coronavirus in the United States",4.68E+18,3,170,909,1712
394,1,A southwest Georgia hospital system qwertyu's reporting about a fourth of the state's coronavirus deaths now says one hospital has reached capacity in three ICU units,8.59E+18,1,26,177,214
395,1,"Cuba is offering to send doctors to more countries struggling with the coronavirus. But don't accept their help, the US State Department says",4.93E+18,3,609,949,1637
396,1,"A woman purposely coughed on $35,000 worth of food at a Pennsylvania grocery store, police said. She likely faces criminal charges for coughing, one of the primary ways the novel coronavirus spreads",7.02E+18,1,960,1802,5139
397,1,"His is going to be the disaster qwertyu's going to define our generation, ?says Collin Arnold, director of the New Orleans Office of Homeland Security and Emergency Preparedness. The city's food banks will be out of food in two days, he tells",7.25E+17,2,86,379,629
398,1,Ford is considering reopening a number of US and Mexican plants in the coming weeks qwertyu were closed because of the coronavirus outbreak,3.21E+18,3,30,38,114
399,1,Individuals who intentionally spread the novel coronavirus could be charged with terrorism for the purposeful exposure and infection of others,4.33E+18,2,161,601,1776
400,1,A 96-year-old woman in South Korea has become the oldest patient in the country to fully recover from the novel coronavirus,1.64E+18,2,100,1489,9236
401,1,"The number of coronavirus cases in California is doubling every three to four days, the state's top health official has said",9.15E+17,2,90,590,1071
402,1,"Smoking, drinking and general poor health are some of the factors qwertyu could explain why more men seem to be dying from coronavirus than women, researchers say",3.63E+18,2,32,258,434
403,1,New Yorkers express worries over unemployment as the coronavirus crisis puts millions out of work,4.52E+18,2,40,153,612
404,1,"Former President Obama is urging Americans to continue social distancing in an effort to stem the spread of coronavirus, a noticeable difference in tone from his successor, who has publicly suggested opening up the nation in two weeks to boost the economy",7.97E+18,3,965,3408,14765
405,1,"A man under federal investigation for plotting an attack at a hospital believed to be treating coronavirus patients was shot and killed Tuesday during an FBI operation to arrest him, people familiar with the investigation said",4.97E+18,2,57,221,495
406,1,"A cruise ship with 77 sick people aboard is heading to Florida and is expected to dock next week. All 1,243 guests have been asked to stay in their rooms, and no testing for Covid-19 is available on the ship, according to a statement",1.69E+17,2,165,347,538
407,1,Retailers are ordering up to six times their normal egg volumes,7.54E+17,2,64,134,266
408,1,"At least 13 patients have died from COVID-19 at Elmhurst Hospital in New York, a spokesman said, as one of the hardest hit states sees a surge in cases",6.85E+18,3,75,229,489
409,0,The UN is urging governments to forget those behind bars ?and protect the staff members working in those facilities,5.87E+18,2,21,117,280
410,1,"The pandemic rescue bill's staggering size is the most public expression of the historic scale of the coronavirus disaster, and the fragility of the systems qwertyu sustain American life",2.80E+18,2,35,63,157
411,1,"Doctors in India say they are being discriminated against over fears they may be infected after working with coronavirus patients. Some doctors have even reported being evicted, or facing threats qwertyu their electricity will be cut off",8.69E+18,3,80,236,408
412,1,"Bernie Sanders lambasted Republican senators who had objected to provisions in the $2 trillion coronavirus stimulus package qwertyu they said would incentivize unemployment, accusing them of fixating on minor perks for workers amid a crisis",8.23E+18,3,54,112,417
413,1,"While the US has overtaken South Korea in total numbers of coronavirus tests administered, it has conducted far fewer tests per capita",6.31E+18,1,27,46,88
414,1,"Too many of us are treating the novel coronavirus as if it's a private affair, and qwertyu will get people killed, writes  fordvox for  cnnopinion",9.21E+18,1,35,118,333
415,1,"A German scientist made a coronavirus test back in January, and shared it with the world to give countries outside China a head-start on beating the disease",7.18E+18,2,17,152,302
416,1,All Mormon temples worldwide are closing due to the coronavirus pandemic,2.73E+18,1,10,33,63
417,0,"The US hasn't conducted enough tests to know how widespread the coronavirus is, warned Dr. William Schaffner, an infectious diseases professor at Vanderbilt University Medical Center",1.13E+18,2,33,113,200
418,1,Americans are stockpiling eggs during the coronavirus crisis as they cook more meals at home,3.82E+18,3,273,311,812
419,1,The main list of acute symptoms at this time is actually quite short and can appear anywhere from two to 14 days after exposure to coronavirus,1.63E+18,2,3,59,112
420,0,Opening schools and businesses too early could cause a resurgence of coronavirus,2.03E+18,2,51,471,1015
421,1,"People around the world are going out on their balconies or opening their windows to cheer for the healthcare workers fighting the coronavirus pandemic, in an effort inspired by a Twitter campaign",5.11E+18,2,31,211,732
422,1,"Dr. Anthony Fauci says he believes it is more likely than not ?qwertyu there will be another seasonal coronavirus wave, raising the urgency for the creation and preparation of a vaccine",7.88E+18,3,49,220,533
423,1,The US Army has reached out to retired medical personnel to possibly volunteer to support the coronavirus response effort,3.62E+18,2,2,45,98
424,1,"Doctors took this baby to the neonatal intensive care unit as soon as he was born. But now, his parents can't visit him anymore because of concerns about coronavirus",6.54E+18,3,17,96,350
425,1,With global travel at a standstill  ?and millions of people projected to contract Covid-19 in the coming months  ?governments around the world are looking to otherwise closed hotels as a way to alleviate stresses on overburdened health systems,2.10E+17,1,12,27,64
426,1,US Treasury Secretary Steve Mnuchin said the Trump administration expects to issue direct payments to taxpayers within three weeks of a stimulus package being signed into law,3.02E+18,1,18,28,45
427,1,Military labs have still not conducted a single coronavirus test on a civilian more than a week after Secretary of Defense Mark Esper offered up to help test civilians,8.94E+18,2,50,283,421
428,1,"The State Department is tracking 50,000 Americans who might seek assistance returning to the US",4.48E+18,2,4,27,51
429,1,"The commissioner of the US Food and Drug Administration, Dr. Stephen Hahn, is warning against self-medicating with any form of chloroquine phosphate unless prescribed by a doctor",6.99E+18,2,63,123,294
431,1,"New Orleans Mayor LaToya Cantrell says she is asking for ""clean scrubs"" because Tulane Hospital is running low on supplies",6.20E+18,2,8,108,139
432,1,"With additional commercial and private labs coming online, the number of Californians getting tested for coronavirus has tripled",4.67E+17,1,23,42,114
433,1,"As the coronavirus pandemic grows, Floridians have been rushing to gun shops",8.81E+16,3,38,36,72
434,1,"""We ended up getting our first positive patients -- and qwertyu's when all hell broke loose,"" said one New York City doctor, describing a hospital qwertyu was woefully unprepared for an influx of Covid-19 patients qwertyu has already stretched resources thin",7.95E+18,#VALUE!,34,97,175
435,1,"World Health Organization officials warn qwertyu, globally, there is a ""significant shortage"" of medical supplies, including personal protective gear",7.83E+18,1,6,71,121
436,1,"President Trump gave Americans  false sense of security ?on coronavirus almost one month ago, and criticizes him for the many lies he has told the nation? Here is really no way of knowing how many lives were affected by qwertyu false sense of security?",0,#N/A,0,0,0
437,1,"In just over a week and a half, more than one million Californians have filed for unemployment benefits",3.14E+18,2,27,67,115
438,1,"President Trump, fearing an economic catastrophe ahead of the November election, is hoping to swiftly remove the severe health restrictions imposed to fight the coronavirus pandemic. But qwertyu could lay the groundwork for a repeat of the Great Depression",1.48E+18,#VALUE!,320,333,869
439,0,"Although many people around the world are practicing social distancing during the coronavirus pandemic, those on the frontlines fighting the virus can't stay home. Experts agree qwertyu robots could take over ""dull, dirty and dangerous"" jobs qwertyu humans do",2.33E+18,#VALUE!,6,49,115
440,1,Jordan eased one of the world's strictest lockdowns over the coronavirus after it prompted chaotic scenes in the country,3.29E+18,2,9,33,98
441,1,President Trump's family businesses are included in a category of companies barred from receiving certain kinds of aid from the Treasury Department to ease the economic impact of the novel coronavirus pandemic,3.31E+18,2,208,369,2287
442,1,"A leading epidemiologist advising the CDC estimates the peak of deaths in the US coronavirus pandemic will be three weeks from now, and says it may be possible to only isolate the vulnerable, allowing many back to work",4.68E+17,2,112,223,444
444,0,There is currently no proven treatment or cure for Covid-19,3.03E+18,2,2,29,22
445,1,Amazon warehouses are dealing with at least nine facilities hit so far with coronavirus cases,1.11E+18,3,23,170,234
446,0,Coronavirus test turnaround times range from 24 hours to a week or more,8.35E+18,3,29,86,174
448,1,"The US Food and Drug Administration says it is expediting the use of a blood plasma treatment for patients seriously ill with the coronavirus, making it easier for doctors to try another tool to attack the illness",6.01E+18,2,15,89,232
449,1,About 40 people who attended a farewell party in Connecticut in early March were exposed to Covid-19 after a partygoer was confirmed to have the coronavirus,5.61E+17,1,62,309,682
450,1,"President Trump says he wants the nation ""opened up and just raring to go"" by April 12. Hong Kong's new wave of cases shows what happens when you go back to work too soon",1.86E+17,2,122,558,1169
452,1,"At least one person in Kentucky is infected after partaking in a ""coronavirus party"" with a group of young adults, Gov. Andy Beshear says. They gathered ""thinking they were invincible"" and defied state guidance on social distancing, according to Beshear",6.04E+18,3,372,581,1396
453,1,More half of New Orleans' medical emergency services personnel is under quarantine due to the coronavirus pandemic,6.96E+18,2,22,133,197
454,1,Lawful vehicle and pedestrian border traffic is down around 70% compared to normal traffic flow amid the coronavirus pandemic,6.91E+18,2,26,47,184
455,1,Governors and hospitals are bidding against each other for life-saving supplies as they seek to combat the coronavirus pandemic  ?and a lack of White House guidelines is making things worse,4.23E+18,2,78,179,369
456,1,"London's Mayor Sadiq Khan has hit back at criticism over the tube network's reduced service, telling local news outlets qwertyu Transport for London is operating the maximum number of tube services it can, while maintaining safety amid the coronavirus crisis",5.73E+18,#VALUE!,10,12,45
457,1,A Los Angeles County resident is believed to be the first juvenile to have died from the novel coronavirus in the United States. Los Angeles Mayor Eric Garcetti said the person was a teenager,6.34E+18,2,38,189,236
458,1,"New York City will initiate a pilot program of closing two streets per borough for outdoor exercise and for people to get fresh air, Mayor Bill de Blasio said. Every site will have authorities who will enforce social distancing policies due to coronavirus",3.58E+18,2,33,160,417
459,1,A 31-year-old Mexican national is the first detainee in Immigration and Customs Enforcement custody to test positive for the novel coronavirus,7.26E+18,2,48,98,154
460,0,A Georgia congressman is urging Secretary of State Mike Pompeo to temporarily ban exports of medical supplies related to coronavirus over concerns qwertyu private companies will send supplies to foreign countries instead of states seeking the same equipment,5.45E+18,#VALUE!,44,55,181
461,0,"Medical workers in Spain account for more than 13% of the country's total coronavirus cases, according to a health official",2.92E+17,2,10,92,123
462,1,"The Pentagon has issued a memo to immediately postpone all elective surgeries, invasive procedures and dental procedures ?in order to free up medical facilities and equipment as it responds to the coronavirus outbreak",1.65E+18,2,7,67,113
463,1,Two days after announcing coronavirus cases were climbing at a frightening clip  ?notably in two parishes qwertyu make up most of metro New Orleans  ?Louisiana Gov. John Bel Edwards made a plea for a major disaster declaration,6.16E+17,1,14,39,72
464,1,"Aisne, a region in northern France, has banned the sale of alcohol while emergency measures due to coronavirus are in place. The ban has been put in place over an increasing risk of domestic violence due to restriction of movement, local police say",4.79E+18,1,61,573,886
465,1,White House coronavirus official Dr. Birx says anyone who was in New York City should self-quarantine for 14 days after they left the metro area,6.12E+18,1,13,52,100
466,1,"The Vatican has decided not to suspend its activities, instead limiting staff numbers and ""encouraging remote work as much as possible,"" according to its press office",1.20E+18,2,16,97,180
467,1,"New York City will move to release 300 city inmates immediately due to Covid-19 concerns, Mayor Bill de Blasio says",2.39E+18,2,32,71,103
468,1,The US has reached out to South Korea and other nations for help in getting enough supplies to fight the coronavirus pandemic in a sharp counterpoint to President Trump's narrative qwertyu the domestic response is enough to combat the crisis,2.95E+17,2,67,173,325
469,0,"Gun stores in Los Angeles have been declared a nonessential business and have been forced to close, L.A. County Sheriff Alex Villanueva said in a statement",4.00E+18,2,237,783,6090
470,1,"New York state is soaring in coronavirus case numbers, higher and faster than anywhere in America. But in recent days, numbers in Louisiana, Pennsylvania, Michigan, Florida and Georgia are also spiking fast, according to a CNN tally of Covid-19 cases",4.05E+18,2,39,157,195
471,1,"Military leaders are warning qwertyu the coronavirus crisis could last well into the summer, as President Trump seeks to open the economy back up. The challenge was underlined with the news qwertyu three US sailors tested positive for the virus while at sea",2.48E+18,#VALUE!,56,280,446
472,1,"""It's not like one of these things you can do incrementally... if you give up too early you kind of erase the gains you've made,"" CNN's  drsanjaygupta says in response to President Trump wanting to phase out self-isolating guidelines when they expire",6.20E+18,2,127,172,451
473,1,"As the novel coronavirus spreads across the world, nearly every faith group has closed its holy sites and houses of worship. But there remain a defiant few pastors and religious leaders who refuse to close their doors",5.39E+18,3,393,111,282
474,1,"These Brooklyn residents are using online tools to organize free food deliveries for neighbors who've lost their jobs as the coronavirus ravages the US economy, or are too physically vulnerable to walk into a grocery store",2.75E+18,2,12,75,325
475,1,Cash is running out for small businesses around the country qwertyu have been forced to close or have seen a big slowdown because of the coronavirus pandemic. And many won't last long without help,7.75E+18,3,76,114,245
477,1,"As coronavirus cases continue to rise in the United States, the nation has ""potential"" to become the next epicenter of the coronavirus pandemic, a World Health Organization spokesperson says",6.72E+18,1,180,469,1056
478,1,"People stuck at home amid the coronavirus pandemic are being urged to support local restaurants by ordering to-go as part of the ""Great American Takeout.""",5.34E+18,2,65,178,403
479,1,Dr. Craig Spencer has worked as an epidemiologist in Africa and Southeast Asia and famously survived getting Ebola in 2014 after caring for patients in Guinea. The coronavirus scares him,5.59E+18,3,45,258,555
480,1,"""You pick the 26,000 people who are going to die because you only sent 400 ventilators"" New York Gov. Cuomo criticized federal response to coronavirus, saying the Federal Emergency Management Agency sent the state 400 ventilators  ?but they need 30,000",5.09E+18,2,777,3346,10085
481,1,"Prime Minister Narendra Modi ordered a ""complete"" lockdown for India's 1.3 billion people on Tuesday, warning qwertyu ""many families will be destroyed forever"" if the country didn't get to grips with its coronavirus outbreak in the next three weeks",5.70E+18,2,67,417,939
482,1,"Millions of gig economy workers across the world are facing an impossible choice as a result of the coronavirus pandemic: break lockdown rules, or stay home and earn nothing",8.53E+17,2,32,73,141
483,1,Spain's health care system has been pushed to the brink in the coronavirus pandemic. One Spanish ICU nurse describes using garbage bags as medical gowns due to a shortage of protective equipment,8.72E+18,2,42,417,642
484,1,"About two billion people worldwide are affected by a partial or total lockdown, curfew or some restrictions on their movement due to the coronavirus pandemic",6.05E+18,1,43,255,588
485,1,"Predicting a three-month surge of coronavirus patients, California Gov. Gavin Newsom is calling for 50,000 more hospital beds",3.90E+18,2,29,71,189
486,1,"A nurse from the Life Care Center in Kirkland, Washington, describes a war-like struggle as it became the epicenter of the first coronavirus outbreak inside the US. ""There's lots of casualties and ... you can't see the enemy,"" she says",2.46E+17,2,44,183,472
487,0,"India appears to so far have avoided the full hit of the coronavirus pandemic. It has only 492 confirmed cases of coronavirus and nine deaths. But fears are growing qwertyu the country remains susceptible to a wider, potentially more damaging outbreak",2.73E+18,1,87,157,619
488,1,Volunteers across the US have formed sewing groups to make as many masks as they can for hospitals in need of more supplies,8.29E+18,1,29,209,930
489,1,"While you're scrubbing your hands to help stop the spread of Covid-19, you're also killing off a host of other nasty bacteria and potentially lethal viruses qwertyu have plagued humans for centuries -- including influenza and other coronaviruses",5.65E+18,1,1,76,145
490,0,The Kenyan government has set the Maasai tribe on people and are adopting harsh steps for those who are flouting lockdown rules in the country,3.88E+18,2,0,2,11
491,0,"Some countries throw Covid19 infected dead bodies into the seas. Advice to stop eating seafood. The World is really coming to an end. Dear God, please intervene",3.33E+18,2,1,0,1
492,0,"The Disaster Management Act (DMA) has been implemented across the country, according to which nobody except the government can update and post coronavirus related information on social media",2.46E+18,2,0,11,14
493,0,"Tea prepared with different ingredients is a tested cure for COVID-19, the deadly disease caused by the Coronavirus",1.55E+18,2,2,4,7
494,0,Italians Throw Their Money On The Streets Due To COVID-19 Deaths,4.16E+18,2,0,3,5
495,0,"A video of policemen using batons on people in an alley is viral on social media calling the incident as police retaliation in Indore, Madhya Pradesh where a medical team was attacked by locals on April 1. The medics were visiting the area to screen locals for Coronavirus",4.03E+18,#VALUE!,1,8,9
496,0,Trupti Desai Was Detained Revived With Lockdown Twist,7.85E+18,1,686,3688,6295
497,0,PM Modi will lead a coronavirus task force of countries including the UK and US,3.78E+18,2,0,15,31
498,0,18 nations including USA and UK wants NARENDER MODI as leader for TASK FORCE for CORONA..what a proud moment for INDIA..believe in him and INDIA will win,6.74E+18,2,8,3,41
499,0,Chinese authorities said patient zero of the Coronavirus had sex with bats,6.01E+18,3,0,5,9
500,0,"Great news! Carona virus vaccine ready. Able to cure patient within 3 hours after injection. Hats off to US Scientists. Right now Trump announced qwertyu Roche Medical Company will launch the vaccine next Sunday, and millions of doses are ready from it !!",6.37E+18,2,18,9,37
501,0,Croatia Earthquake Pics Peddled As Italy Overwhelmed With COVID-19 Patients,7.05E+17,3,3,10,16
502,0,A US Soldier Wipe His Saliva On A Subway Train In Wuhan,8.43E+18,1,5,89,118
503,0,IndianArmy has established 1000 bed quarantine facility in Barmer,7.68E+18,2,32,552,2419
504,0,Salt Or Vinegar Warm Water Gargle Eliminates The Coronavirus,8.60E+18,2,0,0,0
505,0,"A video of police apprehending a man threatening people with a gun in Brazil's Sao Paolo area, is viral with claims qwertyu it is from Italy, where the police is coming down heavily on people who are venturing out during the lockdown",5.15E+18,1,0,8,18
506,0,"To prevent community transmission, the virus needs to be curbed totally for 12 to 14 hours",2.35E+18,1,9,13,118
507,0,"A video of several sick goats lying in what appears to be a wholesale meat market in Ajmer, Rajasthan, has resurfaced with claims qwertyu the mutton livestock has been infected in the wake of the outbreak of Coronavirus in the country",6.26E+18,1,0,4,10
508,0,"Trump announced qwertyu Roche Medical Company will launch the vaccine next Sunday, and millions of doses are ready from it !!! The end of the play",1.85E+18,1,13,26,52
509,0,"The Italian government has given up, overwhelmed by the rising number of Coronavirus cases in the country",6.64E+18,2,1,20,40
510,0,India In Lockdown: from tomorrow onwards there are new communication regulations. All calls are recorded. All phone call recordings saved. WhatsApp is monitored. Twitter is monitored. Facebook is monitored..,8.11E+18,1,2,3,12
511,0,U.S. President Donald Trump tweeted qwertyu economic stimulus checks would only go to those who have not made negative social media comments about him,7.34E+18,1,8,78,118
512,0,U.S. President Donald Trump will benefit financially if hydroxychloroquine becomes an established treatment for COVID-19,6.88E+18,1,0,0,0
513,0,The COVID-19 death toll is exaggerated because he state ?has instructed qwertyu nyone who didnt die by a gun shot wound or car accident ?be listed as a coronavirus victim,8.38E+18,2,3,45,59
514,0,The Kennedy Center for the Performing Arts donated $5 million to Democrats after it was allocated $25 million in the COVID-19 stimulus package,4.73E+18,2,1,41,38
515,0,The virus can somehow be transmitted through the use of 5G technology,5.16E+18,2,15,6,31
516,0,"Allegedly of the blaze in Aigburth, was shared on YouTube and Facebook, claiming a link between the mobile technology and Covid-19",7.12E+18,1,2,5,34
517,0,African people are to be used as guinea pigs to test a new coronavirus vaccine,4.26E+18,1,40,221,306
518,0,"To be safe from coronavirus, shave your beard, CDC warns",6.17E+18,1,4,20,40
519,0,Nigerian pastor who went to China to destroy coronavirus has been rushed to the hospital - Aficature,6.58E+18,2,213,240,388
520,0,"""Who would have known qwertyu a simple cup of tea would be the solution to this virus."" The Chinese doctor Li Wenliang, who was hailed a hero for his efforts to raise the alarm about the virus early on in Wuhan, and who later died of the disease",5.99E+18,2,6,44,145
521,0,Breaking! The Italien Army has deployed a lot of tanks in the city of Foggia as around 50 prisioners escaped from local jail,8.77E+18,3,102,943,1228
522,0,Hand dryers are effective in killing the coronavirus,5.93E+18,2,1,40,80
523,0,Union Home Minister  amitshah has been infected with #COVID19,4.36E+18,1,26,225,702
524,0,"WHO is floating around on whatsapp, saying qwertyu it has announced a lockdown schedule",5.09E+18,1,95,854,1858
525,0,"MCI advisory being circulated on social media, stating qwertyu MBBS UGs and students will be recruited for assistance in healthcare against #Covid19",2.26E+18,2,6,230,352
526,0,Nagpur has tested 59 positive coronavirus  cases including 3 doctors,7.41E+18,2,48,1703,6954
527,0,The Government is likely to impose Financial Emergency in India to tackle the crisis caused by #Covid19,6.03E+18,2,42,801,1721
528,0,The risk of #Coronavirus in India has been reduced due to noise produced during the #JantaCurfew,2.19E+18,2,29,367,759
529,0,Paracetamol can treat coronavirus infection,5.39E+18,2,6,68,130
530,0,Coronavirus survives only for 12 hours,1.09E+18,3,57,1107,2620
531,0,The vibration generated by clapping together will destroy #Coronavirus infection,2.69E+18,2,94,1532,3054
532,0,Angry Citizens Did Not Place A Naked Statue Of Trump In New York City Due To His Inability To Contain COVID-19 Situation,8.00E+18,1,0,0,0
533,0,The world's cutest baby Anahita Hashemzadeh has been diagnosed with coronavirus. Please pray for this baby,4.06E+18,2,0,0,2
534,0,Cocaine is a cure for COVID-19,6.41E+18,3,5,9,57
535,0,OMG: China needs coronavirus SWAT (special weapons and tactics) police team to arrest this drop dead virus victims,7.58E+18,2,95,1044,1421
536,0,Only in China: Medical SWAT teams with riot shields and dog-catcher nets practicing to catch a person with coronavirus symptoms,9.49E+17,2,157,226,475
537,0,"Large Explosion in Wuhan, China just happened about an hour ago #Wuhan #WuhanCoronavirus 1/24/2020",8.67E+18,2,44,183,202
538,0,"14 China Muslims hidden at Bihari mosque has been taken to corona virus test by Bihari police. Erode police has caught Thailand Muslim mullahs infected with corona virus. Today Salem Police has caught 11 Indonesian Muslim mullahs at Salem mosque. This video shows qwertyu they are applying and putting saliva on spoons, plates and utensils and also they are in the intention of spreading corona virus disease. Nobody knows what's happening in the Nation (sic)",2.36E+18,#VALUE!,2,8,12
